Data from 'person_bbox.pkl':
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0445_0_normal.png: {'bbox': array([[234, 173, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0015_0_normal.png: {'bbox': array([[220, 178, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1320_0_normal.png: {'bbox': array([[217, 276, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0240_0_normal.png: {'bbox': array([[230, 183, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0355_0_normal.png: {'bbox': array([[229, 184, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0175_0_normal.png: {'bbox': array([[220, 175, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0800_0_normal.png: {'bbox': array([[241, 285, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1530_0_normal.png: {'bbox': array([[237, 315, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0490_0_normal.png: {'bbox': array([[230, 173, 406, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0540_0_normal.png: {'bbox': array([[234, 172, 406, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0400_0_normal.png: {'bbox': array([[227, 181, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1360_0_normal.png: {'bbox': array([[238, 317, 392, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0285_0_normal.png: {'bbox': array([[230, 189, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0545_0_normal.png: {'bbox': array([[229, 172, 400, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1170_0_normal.png: {'bbox': array([[233, 190, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1000_0_normal.png: {'bbox': array([[230, 183, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0725_0_normal.png: {'bbox': array([[242, 284, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0670_0_normal.png: {'bbox': array([[240, 286, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0685_0_normal.png: {'bbox': array([[241, 285, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1300_0_normal.png: {'bbox': array([[245, 182, 401, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0675_0_normal.png: {'bbox': array([[241, 285, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0090_0_normal.png: {'bbox': array([[229, 182, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0940_0_normal.png: {'bbox': array([[228, 185, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0080_0_normal.png: {'bbox': array([[229, 195, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0625_0_normal.png: {'bbox': array([[247, 279, 393, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0450_0_normal.png: {'bbox': array([[239, 169, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0020_0_normal.png: {'bbox': array([[216, 188, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0255_0_normal.png: {'bbox': array([[231, 189, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0270_0_normal.png: {'bbox': array([[227, 187, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0000_0_normal.png: {'bbox': array([[229, 174, 404, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0495_0_normal.png: {'bbox': array([[203, 175, 404, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1425_0_normal.png: {'bbox': array([[238, 315, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0855_0_normal.png: {'bbox': array([[240, 199, 423, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1540_0_normal.png: {'bbox': array([[237, 314, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0470_0_normal.png: {'bbox': array([[229, 181, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0785_0_normal.png: {'bbox': array([[241, 285, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1545_0_normal.png: {'bbox': array([[239, 316, 393, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1325_0_normal.png: {'bbox': array([[218, 297, 427, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1185_0_normal.png: {'bbox': array([[225, 191, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0440_0_normal.png: {'bbox': array([[232, 195, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0755_0_normal.png: {'bbox': array([[242, 284, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0185_0_normal.png: {'bbox': array([[234, 185, 406, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0770_0_normal.png: {'bbox': array([[242, 285, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1180_0_normal.png: {'bbox': array([[225, 182, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0410_0_normal.png: {'bbox': array([[232, 195, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0920_0_normal.png: {'bbox': array([[231, 185, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0055_0_normal.png: {'bbox': array([[227, 189, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0325_0_normal.png: {'bbox': array([[237, 172, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0135_0_normal.png: {'bbox': array([[220, 213, 384, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0130_0_normal.png: {'bbox': array([[224, 172, 390, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1135_0_normal.png: {'bbox': array([[228, 180, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0500_0_normal.png: {'bbox': array([[201, 176, 405, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0900_0_normal.png: {'bbox': array([[230, 169, 400, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0825_0_normal.png: {'bbox': array([[245, 279, 392, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0050_0_normal.png: {'bbox': array([[229, 194, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0995_0_normal.png: {'bbox': array([[231, 189, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0950_0_normal.png: {'bbox': array([[228, 191, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0280_0_normal.png: {'bbox': array([[231, 192, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1245_0_normal.png: {'bbox': array([[229, 173, 403, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0930_0_normal.png: {'bbox': array([[232, 191, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0820_0_normal.png: {'bbox': array([[242, 283, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0170_0_normal.png: {'bbox': array([[250, 170, 420, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0465_0_normal.png: {'bbox': array([[229, 182, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1370_0_normal.png: {'bbox': array([[236, 315, 398, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1220_0_normal.png: {'bbox': array([[194, 176, 398, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0895_0_normal.png: {'bbox': array([[226, 169, 395, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0335_0_normal.png: {'bbox': array([[230, 192, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0640_0_normal.png: {'bbox': array([[247, 279, 393, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0830_0_normal.png: {'bbox': array([[247, 279, 393, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1010_0_normal.png: {'bbox': array([[229, 192, 409, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1380_0_normal.png: {'bbox': array([[234, 315, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0810_0_normal.png: {'bbox': array([[241, 285, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0110_0_normal.png: {'bbox': array([[223, 183, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0475_0_normal.png: {'bbox': array([[231, 192, 415, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0990_0_normal.png: {'bbox': array([[231, 191, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0225_0_normal.png: {'bbox': array([[232, 181, 408, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1535_0_normal.png: {'bbox': array([[237, 316, 418, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0615_0_normal.png: {'bbox': array([[231, 275, 397, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0860_0_normal.png: {'bbox': array([[249, 170, 419, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0375_0_normal.png: {'bbox': array([[230, 188, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0720_0_normal.png: {'bbox': array([[242, 284, 414, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0985_0_normal.png: {'bbox': array([[229, 180, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0370_0_normal.png: {'bbox': array([[227, 181, 412, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1420_0_normal.png: {'bbox': array([[238, 315, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1095_0_normal.png: {'bbox': array([[228, 193, 410, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1510_0_normal.png: {'bbox': array([[237, 315, 416, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1240_0_normal.png: {'bbox': array([[228, 175, 402, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1365_0_normal.png: {'bbox': array([[237, 315, 394, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0350_0_normal.png: {'bbox': array([[233, 194, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_1450_0_normal.png: {'bbox': array([[237, 315, 413, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0595_0_normal.png: {'bbox': array([[213, 255, 407, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
  Leisure/scene2/Use_phone3/0/Use phone3_0/Action_0980_0_normal.png: {'bbox': array([[228, 189, 411, 478]], dtype=int64), 'bbox_score': array([1.]), 'bbox_size': (640, 480), 'bbox_mode': 'xyxy', 'keypoints': array([], dtype=float64), 'keypoints_logits': array([], dtype=float64)}
